Disease|Description
alzheimer disease|Alzheimer’s disease is a progressive neurodegenerative condition that causes memory loss, confusion, personality changes, and impaired daily functioning. Symptoms worsen over time. Treatment includes medications like donepezil and memantine to slow progression and supportive care for safety and quality of life.
vaginismus|Vaginismus is an involuntary tightening of vaginal muscles during intercourse or penetration, often caused by psychological or physical factors. Symptoms include pain, burning, and inability to have penetrative sex. Treatment involves pelvic floor therapy, counseling, and use of vaginal dilators.
systemic lupus erythematosis (sle)|SLE is an autoimmune disorder where the immune system attacks various organs and tissues. Symptoms include joint pain, skin rashes, fatigue, kidney issues, and photosensitivity. Treatment includes corticosteroids, immunosuppressants, and antimalarials like hydroxychloroquine.
premature ovarian failure|Premature ovarian failure is early loss of normal ovarian function before age 40, leading to infertility and menopause-like symptoms. Symptoms include irregular periods, hot flashes, and mood swings. Treatment includes hormone replacement therapy and fertility support if desired.
thoracic outlet syndrome|Thoracic outlet syndrome occurs when nerves or blood vessels are compressed between the collarbone and first rib. Symptoms include pain, tingling, and weakness in the arms or neck. Treatment includes physical therapy, posture correction, pain management, and surgery in severe cases.
ganglion cyst|A ganglion cyst is a noncancerous lump filled with fluid, usually on the wrist or hand. Symptoms include swelling, discomfort, and sometimes limited joint movement. Treatment includes observation, aspiration, or surgical removal if painful or limiting.
dislocation of the knee|Knee dislocation occurs when the bones of the knee are out of place, often from trauma. Symptoms include intense pain, swelling, and visible deformity. Treatment involves immediate reduction (repositioning), immobilization, physical therapy, and sometimes surgical repair of ligaments.
crohn disease|Crohn’s disease is a chronic inflammatory bowel disease affecting the digestive tract. Symptoms include abdominal pain, diarrhea, fatigue, and weight loss. Treatment includes anti-inflammatory medications, immunosuppressants, dietary management, and surgery in severe cases.
postoperative infection|A postoperative infection occurs after surgery due to contamination of the surgical site. Symptoms include redness, swelling, fever, pain, and pus discharge. Treatment involves antibiotics, wound care, and sometimes reopening and draining the wound.
folate deficiency|Folate deficiency occurs due to inadequate dietary intake, absorption issues, or alcoholism. Symptoms include fatigue, pallor, tongue soreness, and megaloblastic anemia. Treatment includes folic acid supplementation and dietary changes to include leafy greens and fortified foods.
fluid overload|Fluid overload is excess fluid in the body, often due to heart failure, kidney disease, or excessive IV fluids. Symptoms include swelling, shortness of breath, and weight gain. Treatment includes diuretics, fluid restriction, and treating the underlying cause.
atrial flutter|Atrial flutter is a type of abnormal heart rhythm where the atria beat too quickly. Symptoms include palpitations, shortness of breath, fatigue, and chest discomfort. Treatment involves medications to control heart rate or rhythm, cardioversion, and catheter ablation.
skin disorder|Skin disorders refer to a broad range of conditions affecting the skin, including eczema, acne, and dermatitis. Symptoms vary widely but may include redness, itching, rashes, or lesions. Treatment depends on the specific condition and may involve topical creams, oral medications, or lifestyle changes.
floaters|Floaters are small spots or threads drifting in the field of vision, caused by changes in the vitreous humor of the eye. Symptoms include seeing specks, cobwebs, or shadows. Most cases are harmless, but sudden onset may need evaluation. Treatment is typically observation; surgery is rare.
tooth disorder|Tooth disorders include cavities, abscesses, and enamel erosion. Symptoms vary but can include pain, sensitivity, swelling, or bad breath. Treatment includes fillings, root canal therapy, extractions, or antibiotics for infections, along with good oral hygiene and dental checkups.
heart attack|A heart attack (myocardial infarction) occurs when blood flow to part of the heart is blocked, damaging the heart muscle. Symptoms include chest pain, shortness of breath, nausea, and arm or jaw pain. Emergency treatment includes aspirin, nitroglycerin, angioplasty, or bypass surgery.
open wound of the abdomen|An open wound of the abdomen refers to a break in the skin and underlying tissues due to trauma or surgery. Symptoms include pain, bleeding, and possible organ exposure. Treatment involves wound cleaning, suturing, antibiotics, and monitoring for infection or internal injury.
fracture of the leg|A leg fracture is a break in one of the leg bones (femur, tibia, or fibula). Symptoms include pain, swelling, bruising, and difficulty walking. Treatment includes immobilization with a cast or brace, pain control, and sometimes surgical fixation with plates or rods.
oral thrush (yeast infection)|Oral thrush is a fungal infection of the mouth caused by Candida. Symptoms include white patches on the tongue and inner cheeks, redness, soreness, and difficulty swallowing. Treatment involves antifungal medications like nystatin or fluconazole and addressing underlying causes.
pityriasis rosea|Pityriasis rosea is a self-limiting skin rash of unknown cause, often starting with a "herald patch" followed by a widespread rash. Symptoms include oval pink or red patches and mild itching. Treatment is usually not needed, but antihistamines or corticosteroids may relieve itching.
allergy to animals|Animal allergies occur when the immune system reacts to proteins found in animal skin cells, urine, or saliva. Symptoms include sneezing, runny nose, itchy eyes, and asthma. Treatment includes antihistamines, nasal sprays, avoiding exposure, and allergy shots in severe cases.
orthostatic hypotension|Orthostatic hypotension is a sudden drop in blood pressure when standing up, causing dizziness or fainting. Symptoms include lightheadedness, blurred vision, and weakness. Treatment includes increasing fluid and salt intake, wearing compression stockings, and medications like fludrocortisone.
obstructive sleep apnea (osa)|OSA is a condition where throat muscles intermittently relax during sleep, blocking the airway. Symptoms include loud snoring, daytime sleepiness, and poor concentration. Treatment involves CPAP (continuous positive airway pressure), weight loss, and sometimes surgery.
hypokalemia|Hypokalemia is a low potassium level in the blood, which can affect muscle and heart function. Symptoms include weakness, cramps, fatigue, and arrhythmias. Treatment involves oral or IV potassium supplements and correcting the underlying cause such as diuretic use or vomiting.
psoriasis|Psoriasis is a chronic autoimmune condition that causes rapid skin cell turnover, leading to red, scaly plaques. Symptoms include itching, burning, and flaking skin. Treatment includes topical steroids, phototherapy, systemic immunosuppressants, and lifestyle changes.
dislocation of the shoulder|Shoulder dislocation occurs when the upper arm bone slips out of the shoulder socket. Symptoms include severe pain, swelling, and limited motion. Treatment involves manual reduction, immobilization, pain relief, physical therapy, and sometimes surgery for recurrent cases.
intussusception|Intussusception is a condition where one part of the intestine slides into another, causing blockage. It mostly affects infants and young children. Symptoms include severe abdominal pain, vomiting, and bloody stools. Treatment includes air enema reduction or surgery.
cervicitis|Cervicitis is inflammation of the cervix, often due to infection. Symptoms include vaginal discharge, pelvic pain, bleeding between periods, or during intercourse. Treatment includes antibiotics or antiviral medications depending on the cause, and partner treatment if sexually transmitted.
abscess of the pharynx|A pharyngeal abscess is a collection of pus in the throat caused by bacterial infection. Symptoms include sore throat, fever, difficulty swallowing, and swollen lymph nodes. Treatment involves antibiotics and sometimes surgical drainage of the abscess.
primary thrombocythemia|Primary thrombocythemia is a rare blood disorder where the bone marrow produces too many platelets. Symptoms include clotting or bleeding, headaches, and dizziness. Treatment includes low-dose aspirin, platelet-lowering medications like hydroxyurea, and regular monitoring.
arthritis of the hip|Arthritis of the hip causes inflammation and degeneration of the hip joint, leading to pain and stiffness. Symptoms include reduced range of motion, limping, and difficulty standing or walking. Treatment includes physical therapy, pain relievers, joint injections, and hip replacement in severe cases.
decubitus ulcer|Decubitus ulcers, or pressure sores, are injuries to the skin and underlying tissue from prolonged pressure on the skin. Symptoms include skin discoloration, pain, open wounds, and signs of infection. Treatment includes relieving pressure, cleaning wounds, using dressings, antibiotics if infected, and in severe cases, surgery.
hypernatremia|Hypernatremia is a high concentration of sodium in the blood, often caused by dehydration or underlying health issues. Symptoms include thirst, confusion, muscle twitching, and seizures. Treatment involves slow correction of sodium levels with intravenous fluids and addressing the underlying cause.
sensorineural hearing loss|Sensorineural hearing loss is caused by damage to the inner ear or auditory nerve. Symptoms include partial or total loss of hearing, difficulty understanding speech, and tinnitus. Treatment options include hearing aids, cochlear implants, or therapies depending on the severity and cause.
chronic ulcer|Chronic ulcers are long-lasting sores that fail to heal, often found on the legs or feet. Symptoms include persistent open wounds, pain, swelling, and drainage. Treatment includes wound care, compression therapy, antibiotics if infected, and managing underlying conditions like diabetes or poor circulation.
osteoporosis|Osteoporosis is a condition where bones become weak and brittle. Symptoms may include back pain, loss of height, and fractures from minor falls. Treatment includes calcium and vitamin D supplements, medications to strengthen bones, weight-bearing exercises, and lifestyle changes.
ileus|Ileus is a temporary lack of movement in the intestines, causing a blockage. Symptoms include abdominal pain, bloating, nausea, and vomiting. Treatment involves bowel rest, IV fluids, nasogastric suction, and treating the underlying cause.
sickle cell crisis|Sickle cell crisis is a painful episode due to blocked blood flow from abnormally shaped red blood cells. Symptoms include severe pain, swelling, fever, and shortness of breath. Treatment involves pain management, hydration, oxygen, and sometimes blood transfusions.
urethritis|Urethritis is inflammation of the urethra, usually due to infection. Symptoms include painful urination, discharge, and increased urge to urinate. Treatment typically involves antibiotics or antiviral medications depending on the cause.
prostatitis|Prostatitis is inflammation of the prostate gland, which may be bacterial or non-bacterial. Symptoms include pelvic pain, painful urination, difficulty urinating, and sometimes fever. Treatment includes antibiotics, anti-inflammatory medications, and pain relievers.
otitis externa (swimmer's ear)|Otitis externa is an infection of the outer ear canal, often due to moisture. Symptoms include ear pain, itching, swelling, and drainage. Treatment includes cleaning the ear canal, antibiotic or antifungal ear drops, and keeping the ear dry.
poisoning due to anticonvulsants|Poisoning due to anticonvulsants occurs when these drugs are taken in excessive doses. Symptoms include dizziness, confusion, tremors, and respiratory depression. Treatment involves supportive care, activated charcoal, and monitoring in a medical setting.
testicular torsion|Testicular torsion is the twisting of the spermatic cord, cutting off blood supply to the testicle. Symptoms include sudden severe scrotal pain, swelling, and nausea. It is a surgical emergency and requires immediate intervention to save the testicle.
tricuspid valve disease|Tricuspid valve disease affects the valve between the right atrium and right ventricle of the heart. Symptoms include fatigue, swelling, shortness of breath, and heart palpitations. Treatment includes medications for heart failure and surgery for valve repair or replacement.
urethral stricture|Urethral stricture is narrowing of the urethra due to injury, infection, or inflammation. Symptoms include reduced urine stream, straining, and urinary retention. Treatment options include dilation, urethrotomy, or surgical reconstruction.
vitamin d deficiency|Vitamin D deficiency can lead to bone pain, muscle weakness, and fatigue. It may cause rickets in children and osteomalacia in adults. Treatment involves vitamin D supplementation, dietary changes, and increased sun exposure.
hydatidiform mole|A hydatidiform mole is an abnormal pregnancy where a tumor forms in the uterus. Symptoms include abnormal vaginal bleeding, high hCG levels, and an enlarged uterus. Treatment involves uterine evacuation and monitoring hCG levels to ensure resolution.
pain disorder affecting the neck|This condition involves chronic neck pain without a clear cause. Symptoms include stiffness, reduced mobility, and persistent discomfort. Treatment includes physical therapy, pain medications, heat/cold therapy, and sometimes injections.
tuberculosis|Tuberculosis is a bacterial infection caused by Mycobacterium tuberculosis. Symptoms include a persistent cough, weight loss, night sweats, and fever. Treatment includes a long course of antibiotics over several months, often involving multiple drugs.
pelvic fistula|A pelvic fistula is an abnormal connection between pelvic organs, often between the bladder, vagina, or rectum. Symptoms include abnormal discharge, recurrent infections, and urinary or fecal incontinence. Treatment usually involves surgical repair.
acute bronchiolitis|Acute bronchiolitis is a viral infection of the small airways in the lungs, common in infants. Symptoms include coughing, wheezing, difficulty breathing, and feeding problems. Treatment is usually supportive, including oxygen, fluids, and sometimes hospitalization.
presbyopia|Presbyopia is an age-related condition where the eye gradually loses the ability to focus on close objects. Symptoms include difficulty reading small print and eye strain. Treatment includes reading glasses, bifocals, contact lenses, or corrective surgery like LASIK.
dementia|Dementia is a group of conditions affecting memory, thinking, and social abilities severely enough to interfere with daily life. Symptoms include memory loss, confusion, difficulty with communication, and personality changes. Treatment focuses on slowing progression with medications, cognitive therapies, and supportive care.
insect bite|An insect bite occurs when an insect punctures the skin. Symptoms include redness, itching, swelling, and in some cases, allergic reactions. Treatment includes antihistamines, topical creams, and cold compresses. Severe reactions may require emergency medical attention.
paroxysmal ventricular tachycardia|Paroxysmal ventricular tachycardia is a sudden episode of fast heart rate originating in the ventricles. Symptoms include palpitations, dizziness, chest pain, and fainting. Treatment includes antiarrhythmic medications, electrical cardioversion, or ablation therapy.
congenital heart defect|A congenital heart defect is a structural abnormality in the heart present at birth. Symptoms vary by type but may include cyanosis, shortness of breath, and poor feeding in infants. Treatment ranges from monitoring to medications and corrective heart surgery.
connective tissue disorder|Connective tissue disorders affect the tissues supporting organs and structures in the body. Symptoms include joint pain, skin changes, and organ dysfunction. Treatment depends on the specific disorder and may involve immunosuppressants, pain management, and physical therapy.
foreign body in the eye|This occurs when a particle like dust, metal, or an insect gets into the eye. Symptoms include irritation, redness, tearing, and blurred vision. Treatment involves flushing the eye with saline or removing the object, and seeking medical care if embedded.
poisoning due to gas|Gas poisoning typically refers to inhalation of toxic gases like carbon monoxide. Symptoms include headache, dizziness, confusion, and shortness of breath. Treatment includes immediate fresh air, oxygen therapy, and hospitalization in severe cases.
pyogenic skin infection|This refers to bacterial skin infections causing pus formation. Symptoms include redness, swelling, warmth, and discharge. Treatment includes antibiotics, drainage of abscesses, and proper wound care.
endometrial hyperplasia|Endometrial hyperplasia is thickening of the uterine lining, often due to estrogen imbalance. Symptoms include heavy or irregular menstrual bleeding. Treatment includes hormonal therapy and, in some cases, surgical procedures like dilation and curettage.
acanthosis nigricans|Acanthosis nigricans is a skin condition characterized by dark, velvety patches in body folds. It's often associated with insulin resistance. Symptoms are cosmetic but may signal an underlying condition. Treatment focuses on managing the cause and using topical creams.
central atherosclerosis|Central atherosclerosis involves plaque buildup in large central arteries. Symptoms depend on affected vessels but may include chest pain or limb pain. Treatment involves lifestyle changes, medications to lower cholesterol and blood pressure, and sometimes surgery.
viral exanthem|Viral exanthem is a widespread rash caused by a viral infection. Symptoms include red rashes, fever, and fatigue. Treatment is usually supportive, including rest, fluids, and antipyretics. Most cases resolve without complications.
noninfectious gastroenteritis|This is inflammation of the stomach and intestines not caused by infection, often from medications or food intolerance. Symptoms include nausea, vomiting, abdominal cramps, and diarrhea. Treatment involves hydration, dietary adjustments, and stopping the irritant.
benign prostatic hyperplasia (bph)|BPH is a non-cancerous enlargement of the prostate gland. Symptoms include frequent urination, weak stream, and incomplete bladder emptying. Treatment includes medications like alpha-blockers or 5-alpha-reductase inhibitors, and sometimes surgery.
menopause|Menopause is the natural cessation of menstruation, typically occurring in women over 45. Symptoms include hot flashes, mood changes, and sleep disturbances. Treatment includes hormone replacement therapy, lifestyle changes, and symptom-specific medications.
primary immunodeficiency|This is a group of disorders where part of the immune system is missing or doesn't function properly. Symptoms include frequent infections, poor wound healing, and fatigue. Treatment involves immunoglobulin therapy, antibiotics, and in some cases, stem cell transplants.
ovarian cancer|Ovarian cancer is a malignant growth in the ovaries. Symptoms are often vague but include bloating, pelvic pain, and urinary urgency. Treatment includes surgery, chemotherapy, and sometimes targeted therapy depending on the stage.
cataract|A cataract is a clouding of the lens in the eye that affects vision. Symptoms include blurry vision, sensitivity to light, and difficulty seeing at night. Treatment involves surgical removal of the cloudy lens and replacement with an artificial one.
dislocation of the hip|This occurs when the head of the femur is forced out of the hip socket. Symptoms include severe pain, inability to move the leg, and deformity. Treatment involves emergency reduction, pain management, and rehabilitation.
spinal stenosis|Spinal stenosis is the narrowing of the spinal canal, which can compress the spinal cord or nerves. Symptoms include back pain, numbness, weakness, and difficulty walking. Treatment includes physical therapy, pain relievers, steroid injections, and sometimes decompression surgery.
intestinal obstruction|Intestinal obstruction occurs when part of the intestine is blocked, preventing the passage of contents. Symptoms include severe abdominal pain, bloating, vomiting, and constipation. Treatment involves bowel rest, nasogastric suction, IV fluids, and sometimes surgery to remove the blockage.
heart contusion|A heart contusion is a bruise to the heart muscle usually caused by blunt trauma. Symptoms may include chest pain, irregular heartbeat, and shortness of breath. Treatment is supportive and includes monitoring, oxygen therapy, and managing complications such as arrhythmias.
congenital malformation syndrome|Congenital malformation syndrome involves multiple birth defects that occur together due to genetic or environmental causes. Symptoms vary widely depending on the syndrome but may include physical deformities, developmental delays, or organ dysfunction. Treatment is tailored to the specific malformations and may involve surgery, therapy, and multidisciplinary care.
sporotrichosis|Sporotrichosis is a fungal infection that typically affects the skin, caused by Sporothrix schenckii. Symptoms include nodular skin lesions that may ulcerate. Treatment includes antifungal medications such as itraconazole, and potassium iodide in some cases.
lymphangitis|Lymphangitis is an inflammation of the lymphatic channels, usually due to bacterial infection. Symptoms include red streaks on the skin, fever, swollen lymph nodes, and pain. Treatment includes antibiotics, pain relievers, and addressing the source of infection.
wernicke korsakoff syndrome|Wernicke-Korsakoff syndrome is a neurological disorder caused by thiamine (vitamin B1) deficiency, often linked to alcoholism. Symptoms include confusion, ataxia, memory loss, and eye movement problems. Treatment involves immediate thiamine replacement and managing alcohol use.
intestinal disease|Intestinal diseases include a range of disorders affecting the gastrointestinal tract, such as IBS, Crohn’s disease, and colitis. Symptoms may include abdominal pain, bloating, diarrhea, and weight loss. Treatment depends on the condition and can include dietary changes, medications, and sometimes surgery.
acute bronchitis|Acute bronchitis is inflammation of the bronchial tubes, often due to a viral infection. Symptoms include cough, chest discomfort, mild fever, and fatigue. Treatment is usually supportive with rest, fluids, and cough suppressants. Antibiotics are rarely needed.
persistent vomiting of unknown cause|Persistent vomiting of unknown cause involves repeated vomiting without a clear diagnosis. Symptoms include nausea, dehydration, weight loss, and electrolyte imbalance. Treatment focuses on hydration, antiemetic medications, and diagnostic evaluation to identify the underlying cause.
open wound of the foot|An open wound of the foot can result from injury, leading to exposed tissue. Symptoms include pain, bleeding, swelling, and risk of infection. Treatment includes cleaning the wound, applying dressings, possibly antibiotics, and monitoring for healing or complications.
myocarditis|Myocarditis is inflammation of the heart muscle, often due to viral infections. Symptoms include chest pain, fatigue, arrhythmias, and shortness of breath. Treatment may involve rest, medications for heart function, and in severe cases, hospitalization or mechanical support.
preeclampsia|Preeclampsia is a pregnancy complication characterized by high blood pressure and signs of organ damage, typically after 20 weeks of gestation. Symptoms include swelling, headaches, vision changes, and elevated liver enzymes. Treatment includes monitoring, medications to lower blood pressure, and delivery of the baby if necessary.
ischemic heart disease|Ischemic heart disease is caused by reduced blood flow to the heart muscle, often due to coronary artery disease. Symptoms include chest pain (angina), shortness of breath, and fatigue. Treatment includes lifestyle changes, medications, and possibly procedures like angioplasty or bypass surgery.
neurofibromatosis|Neurofibromatosis is a genetic disorder causing tumors to form on nerve tissue. Symptoms include skin spots, neurofibromas, and in some cases, learning disabilities and bone deformities. Treatment involves monitoring, surgery to remove tumors, and supportive therapies.
chickenpox|Chickenpox is a viral infection caused by the varicella-zoster virus. Symptoms include an itchy rash with blisters, fever, and fatigue. Treatment includes rest, antihistamines for itching, antiviral medications in some cases, and vaccination for prevention.
pancreatic cancer|Pancreatic cancer is a malignancy of the pancreas often detected late. Symptoms include abdominal pain, jaundice, weight loss, and fatigue. Treatment may involve surgery, chemotherapy, radiation, and palliative care depending on the stage.
neuropathy due to drugs|Drug-induced neuropathy is nerve damage caused by certain medications. Symptoms include numbness, tingling, burning pain, and weakness. Treatment includes stopping the causative drug, using pain management strategies, and physical therapy.
croup|Croup is a viral infection that causes swelling in the upper airway, mostly in young children. Symptoms include a barking cough, hoarseness, and difficulty breathing. Treatment includes humidified air, corticosteroids, and in severe cases, hospitalization.
idiopathic excessive menstruation|Idiopathic excessive menstruation refers to heavy menstrual bleeding without an identifiable cause. Symptoms include prolonged bleeding, fatigue, and anemia. Treatment includes hormonal therapy, antifibrinolytics, and sometimes surgical options like endometrial ablation.
amblyopia|Amblyopia, also known as lazy eye, is a vision development disorder where one eye fails to achieve normal visual acuity. Symptoms may include poor depth perception, squinting, and eye misalignment. Treatment involves patching the stronger eye, using corrective glasses, or vision therapy to strengthen the weaker eye.
meckel diverticulum|Meckel diverticulum is a congenital pouch in the lower small intestine. It may cause symptoms like abdominal pain, bleeding, or bowel obstruction. Treatment typically involves surgical removal if symptomatic.
dislocation of the wrist|Dislocation of the wrist occurs when the bones in the wrist are forced out of alignment, usually due to trauma. Symptoms include intense pain, swelling, and deformity. Treatment includes realignment (reduction), immobilization with a cast or splint, and physical therapy.
ear drum damage|Ear drum damage or perforation can result from trauma, infection, or loud noises. Symptoms include pain, hearing loss, tinnitus, and possible discharge. Treatment includes keeping the ear dry, antibiotics if infected, and surgical repair (tympanoplasty) in severe cases.
erectile dysfunction|Erectile dysfunction is the inability to achieve or maintain an erection sufficient for sexual activity. Symptoms include reduced sexual desire and difficulty with erections. Treatment includes lifestyle changes, medications like sildenafil, counseling, or mechanical devices.
temporary or benign blood in urine|Benign hematuria refers to non-threatening causes of blood in the urine, often from vigorous exercise, minor trauma, or menstruation. It may be asymptomatic or cause visible red urine. Treatment is not usually needed but underlying causes should be ruled out.
kidney disease due to longstanding hypertension|Chronic high blood pressure can damage kidneys, leading to hypertensive nephropathy. Symptoms may include proteinuria, edema, and reduced kidney function. Treatment focuses on controlling blood pressure and protecting kidney function with ACE inhibitors or ARBs.
chondromalacia of the patella|Chondromalacia patella is the softening or breakdown of cartilage under the kneecap. Symptoms include knee pain when climbing stairs or sitting long periods. Treatment includes rest, physical therapy, anti-inflammatory medications, and sometimes surgery.
onychomycosis|Onychomycosis is a fungal infection of the nail, causing discoloration, thickening, and brittleness. Treatment includes antifungal oral or topical medications and, in some cases, removal of the infected nail.
urethral disorder|Urethral disorders can include inflammation, stricture, or infection of the urethra. Symptoms may include painful urination, urinary retention, and discharge. Treatment depends on the cause and can include antibiotics, dilation, or surgery.
lyme disease|Lyme disease is a bacterial infection transmitted by tick bites. Symptoms include a bullseye rash, fever, joint pain, and neurological issues in later stages. Treatment involves antibiotics like doxycycline or amoxicillin.
iron deficiency anemia|Iron deficiency anemia occurs when there's not enough iron to make adequate hemoglobin. Symptoms include fatigue, pallor, shortness of breath, and brittle nails. Treatment includes dietary iron, supplements, and treating the underlying cause of iron loss.
acute respiratory distress syndrome (ards)|ARDS is a severe lung condition where fluid fills the alveoli, often due to trauma, infection, or inflammation. Symptoms include severe shortness of breath, rapid breathing, and low oxygen levels. Treatment includes mechanical ventilation and supportive care in the ICU.
toxic multinodular goiter|Toxic multinodular goiter is an enlarged thyroid with multiple nodules producing excess hormones. Symptoms include weight loss, palpitations, and heat intolerance. Treatment includes radioactive iodine, antithyroid drugs, or thyroidectomy.
open wound of the finger|An open wound of the finger is a break in the skin due to injury. Symptoms include pain, bleeding, and possible infection. Treatment includes cleaning, dressing, tetanus prophylaxis, and stitches if needed.
autonomic nervous system disorder|Autonomic nervous system disorders affect involuntary body functions like heart rate and digestion. Symptoms may include dizziness, fainting, irregular heartbeat, and digestive issues. Treatment involves managing symptoms with medications, lifestyle changes, and treating the underlying cause.
psychosexual disorder|Psychosexual disorders affect sexual functioning or behavior. Symptoms vary and may include lack of desire, arousal issues, or identity conflicts. Treatment includes counseling, psychotherapy, and sometimes medication.
anemia|Anemia is a condition where the blood lacks enough healthy red cells or hemoglobin. Symptoms include fatigue, weakness, pallor, and shortness of breath. Treatment depends on the cause and may include iron supplements, vitamin B12, or treatment of chronic conditions.
tendinitis|Tendinitis is inflammation of a tendon, usually from overuse or injury. Symptoms include localized pain, swelling, and limited movement. Treatment includes rest, ice, anti-inflammatory medications, and physical therapy.
common cold|The common cold is a viral infection of the upper respiratory tract. Symptoms include sore throat, runny nose, cough, and congestion. Treatment is supportive, including rest, fluids, decongestants, and pain relievers.
amyotrophic lateral sclerosis (als)|Amyotrophic lateral sclerosis (ALS) is a progressive neurodegenerative disease that affects nerve cells in the brain and spinal cord, leading to muscle weakness and atrophy. Symptoms include muscle twitching, difficulty speaking, swallowing, and breathing. There is no cure, but treatments like riluzole and edaravone may slow progression. Supportive care includes physical therapy, speech therapy, and assistive devices.
central retinal artery or vein occlusion|Central retinal artery or vein occlusion is a blockage of the main blood vessels to the retina, leading to sudden, painless vision loss in one eye. Symptoms include partial or complete vision loss and floaters. Treatment depends on the cause and may include anti-VEGF injections, laser therapy, or medications to lower intraocular pressure or treat underlying conditions.
paroxysmal supraventricular tachycardia|Paroxysmal supraventricular tachycardia (PSVT) is a sudden, rapid heartbeat originating above the heart's ventricles. Symptoms include palpitations, dizziness, chest discomfort, and shortness of breath. Treatment may include vagal maneuvers, medications like beta-blockers, or catheter ablation in severe or recurrent cases.
venous insufficiency|Venous insufficiency occurs when veins have trouble sending blood from the legs back to the heart. Symptoms include leg swelling, varicose veins, aching, and skin changes. Treatments include compression stockings, leg elevation, weight management, and sometimes surgical procedures or vein ablation.
trichomonas infection|Trichomonas infection is a sexually transmitted infection caused by a parasite. Symptoms in women include vaginal discharge, itching, and pain during urination; men are often asymptomatic. Treatment is with oral metronidazole or tinidazole for both partners to prevent reinfection.
acne|Acne is a skin condition caused by clogged hair follicles with oil and dead skin. Symptoms include pimples, blackheads, and cysts, mostly on the face, back, and chest. Treatment includes topical retinoids, benzoyl peroxide, antibiotics, and oral medications like isotretinoin for severe cases.
depression|Depression is a mood disorder characterized by persistent sadness, loss of interest, and difficulty functioning. Symptoms include fatigue, sleep disturbances, appetite changes, and thoughts of self-harm. Treatment includes psychotherapy (like CBT), antidepressants, and lifestyle changes.
drug abuse|Drug abuse is the misuse of legal or illegal substances, leading to health, social, or legal issues. Symptoms vary by substance but often include behavioral changes, cravings, withdrawal, and tolerance. Treatment involves detoxification, counseling, behavioral therapy, support groups, and sometimes medication-assisted therapy.
urinary tract obstruction|Urinary tract obstruction is a blockage that impedes the flow of urine. Symptoms include flank pain, difficulty urinating, and urinary retention. Treatment depends on the cause and location and may involve catheterization, surgery, or medications to relieve the obstruction.
diabetes insipidus|Diabetes insipidus is a rare disorder causing excessive urination and thirst due to antidiuretic hormone (ADH) imbalance. Symptoms include frequent urination, dehydration, and excessive thirst. Treatment involves hormone replacement (desmopressin) and addressing underlying causes.
iridocyclitis|Iridocyclitis is inflammation of the iris and ciliary body in the eye, often associated with autoimmune disorders. Symptoms include eye pain, redness, blurred vision, and sensitivity to light. Treatment includes corticosteroid eye drops, pupil dilators, and managing underlying conditions.
varicocele of the testicles|Varicocele is the enlargement of veins within the scrotum, similar to varicose veins. Symptoms include a dull ache or visible enlarged veins, and it may affect fertility. Treatment includes scrotal support, pain management, or surgical ligation or embolization in severe cases.
irritable bowel syndrome|Irritable bowel syndrome (IBS) is a functional gastrointestinal disorder. Symptoms include abdominal pain, bloating, diarrhea, and constipation. Treatment involves dietary changes (like low-FODMAP diet), stress management, and medications like antispasmodics or fiber supplements.
fracture of the foot|Fracture of the foot involves a break in one or more bones in the foot due to trauma or overuse. Symptoms include pain, swelling, bruising, and difficulty walking. Treatment may include rest, immobilization with a cast or boot, and sometimes surgery.
ovarian cyst|Ovarian cysts are fluid-filled sacs on the ovaries. Many are asymptomatic, but larger cysts can cause pelvic pain, bloating, and menstrual irregularities. Treatment may include watchful waiting, hormonal therapy, or surgical removal if symptomatic or suspicious.
chlamydia|Chlamydia is a common bacterial sexually transmitted infection. Symptoms include genital discharge and burning during urination, but many cases are asymptomatic. Treatment is with antibiotics, typically azithromycin or doxycycline, and partner treatment is essential.
parasitic disease|Parasitic diseases are caused by organisms such as protozoa, helminths, or ectoparasites. Symptoms vary by parasite but may include diarrhea, abdominal pain, fatigue, and skin rashes. Treatment depends on the organism and includes antiparasitic medications like albendazole or metronidazole.
fracture of the jaw|Fracture of the jaw (mandibular fracture) typically results from trauma. Symptoms include jaw pain, swelling, bruising, difficulty chewing, and misaligned teeth. Treatment includes immobilization, surgery for severe fractures, and pain management.
lipoma|Lipoma is a benign fatty tumor under the skin. It usually presents as a soft, painless lump. Treatment is not necessary unless it causes discomfort or cosmetic concern; surgical removal is an option.
female genitalia infection|Female genitalia infections include conditions like bacterial vaginosis, yeast infections, and STIs. Symptoms may include discharge, itching, odor, and irritation. Treatment depends on the cause and includes antifungal or antibiotic medications.
pulmonary hypertension|Pulmonary hypertension is high blood pressure in the arteries of the lungs, which can lead to heart failure. Symptoms include shortness of breath, fatigue, chest pain, and swelling in the legs. Treatment includes medications like vasodilators, diuretics, oxygen therapy, and sometimes lung or heart-lung transplantation.
thyroid nodule|A thyroid nodule is a lump in the thyroid gland, often benign but occasionally cancerous. Symptoms are usually absent, but large nodules may cause swallowing difficulties or neck discomfort. Treatment includes monitoring, thyroid hormone therapy, or surgical removal if suspicious or symptomatic.
broken tooth|A broken tooth can result from trauma, decay, or biting hard objects. Symptoms include pain, sensitivity, and visible cracks. Treatment includes dental bonding, crowns, root canals, or extraction depending on severity.
